Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.122086,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.119740,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.070522,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.122086,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.140831,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.115059,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.562662,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.576727,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.579065,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.504076,121510000
2017-01-31,30.287500,30.347500,30.155001,30.337500,28.438456,196804000
2017-02-01,31.757500,32.622501,31.752501,32.187500,30.172653,447940000
2017-02-02,31.995001,32.347500,31.945000,32.132500,30.121096,134841600
2017-02-03,32.077499,32.297501,32.040001,32.270000,30.249987,98029200
2017-02-06,32.282501,32.625000,32.224998,32.572498,30.533556,107383600
2017-02-07,32.634998,33.022499,32.612499,32.882500,30.824150,152735200
2017-02-08,32.837502,33.055000,32.805000,33.009998,30.943665,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105000,31.167269,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,31.096653,80262000
2017-02-13,33.270000,33.455002,33.187500,33.322498,31.372040,92141600
2017-02-14,33.367500,33.772499,33.312500,33.755001,31.779226,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,31.894547,142492400
2017-02-16,33.917500,33.974998,33.709999,33.837502,31.856892,90338400
2017-02-17,33.775002,33.957500,33.775002,33.930000,31.943979,88792800
2017-02-21,34.057499,34.187500,33.994999,34.174999,32.174629,98028800
2017-02-22,34.107498,34.279999,34.027500,34.277500,32.271130,83347600
2017-02-23,34.345001,34.369999,34.075001,34.132500,32.134624,83152800
